"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","022","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"Byz",0.697,0.818,0.121,0.818,0.576,0.515,0.759,0.697,0.788,0.438,0.7,0.576,0.394,0.485,0.061,0.061,0.576,0.455,0.455,0.062,0.364,0.515,0.091,0.062,0.212,0.212,0.182,0.091,0.394,0.152,0.121,0.697,0,0,0.033,0.091,0.03,0.133,0.152,0.034,0.484,0.333,0.485,0.455,0.515,0.364,0.452,0.414,0.793,0.3,0.242,0.281,0.3,0.071,0.615,0.704,0.5,0.586,0.345,0.4,0.156
"07",0.657,0.829,0.143,0.771,0.571,0.543,0.742,0.714,0.771,0.471,0.688,0.6,0.371,0.486,0.086,0.086,0.6,0.486,0.486,0.088,0.371,0.486,0.086,0.059,0.257,0.257,0.229,0.114,0.4,0.2,0.143,0.686,0,0,0.031,0.086,0.029,0.156,0.171,0.097,0.5,0.353,0.5,0.441,0.529,0.382,0.438,0.414,0.8,0.323,0.265,0.303,0.323,0.103,0.63,0.704,0.5,0.613,0.333,0.423,0.182
"09",0.625,0.812,0.156,0.75,0.562,0.562,0.714,0.688,0.75,0.484,0.655,0.594,0.406,0.438,0.125,0.125,0.594,0.469,0.562,0.129,0.312,0.469,0.125,0.097,0.25,0.312,0.281,0.156,0.375,0.25,0.188,0.656,0.033,0.031,0,0.125,0.062,0.207,0.219,0.143,0.517,0.355,0.452,0.452,0.516,0.419,0.483,0.423,0.815,0.357,0.29,0.333,0.276,0.148,0.6,0.72,0.524,0.571,0.333,0.44,0.2
"011",0.657,0.829,0.229,0.771,0.571,0.514,0.742,0.629,0.743,0.441,0.656,0.514,0.343,0.457,0.143,0.114,0.514,0.486,0.457,0.118,0.4,0.486,0.114,0.147,0.314,0.257,0.257,0.143,0.4,0.229,0.229,0.686,0.091,0.086,0.125,0,0.114,0.219,0.257,0.097,0.438,0.353,0.5,0.441,0.5,0.324,0.375,0.345,0.8,0.323,0.235,0.242,0.29,0.207,0.593,0.667,0.5,0.516,0.3,0.423,0.242
"013",0.657,0.857,0.143,0.771,0.571,0.514,0.742,0.743,0.743,0.441,0.688,0.6,0.343,0.457,0.114,0.114,0.629,0.457,0.486,0.118,0.343,0.486,0.114,0.088,0.257,0.257,0.2,0.086,0.4,0.2,0.114,0.686,0.03,0.029,0.062,0.114,0,0.156,0.171,0.097,0.531,0.382,0.529,0.471,0.559,0.412,0.469,0.448,0.8,0.355,0.294,0.333,0.323,0.103,0.63,0.741,0.542,0.613,0.367,0.423,0.182
"022",0.719,0.812,0.188,0.75,0.5,0.562,0.679,0.719,0.75,0.548,0.742,0.531,0.5,0.625,0.188,0.188,0.594,0.594,0.406,0.226,0.5,0.5,0.188,0.194,0.281,0.281,0.281,0.219,0.406,0.25,0.281,0.719,0.133,0.156,0.207,0.219,0.156,0,0.031,0.143,0.517,0.387,0.613,0.548,0.613,0.387,0.552,0.538,0.815,0.393,0.323,0.367,0.357,0.115,0.625,0.769,0.696,0.643,0.407,0.478,0.2
"042",0.714,0.8,0.2,0.686,0.514,0.571,0.645,0.714,0.686,0.559,0.719,0.486,0.429,0.543,0.2,0.229,0.543,0.571,0.371,0.265,0.457,0.514,0.229,0.147,0.286,0.314,0.286,0.257,0.4,0.257,0.286,0.714,0.152,0.171,0.219,0.257,0.171,0.031,0,0.194,0.531,0.382,0.588,0.529,0.618,0.412,0.562,0.552,0.767,0.387,0.353,0.394,0.355,0.138,0.556,0.815,0.708,0.613,0.433,0.385,0.242
"Lect",0.645,0.742,0.161,0.774,0.484,0.419,0.679,0.677,0.71,0.333,0.643,0.484,0.387,0.484,0.097,0.097,0.516,0.419,0.323,0.1,0.387,0.452,0.161,0.167,0.194,0.097,0.161,0.065,0.387,0.097,0.161,0.613,0.034,0.097,0.143,0.097,0.097,0.143,0.194,0,0.483,0.3,0.5,0.467,0.467,0.3,0.429,0.385,0.821,0.259,0.2,0.207,0.25,0.077,0.625,0.708,0.476,0.519,0.296,0.375,0.069
"it-a",0.781,0.688,0.562,0.844,0.656,0.312,0.75,0.75,0.781,0.387,0.793,0.562,0.531,0.656,0.531,0.469,0.562,0.562,0.594,0.484,0.562,0.719,0.469,0.548,0.5,0.469,0.531,0.5,0.625,0.562,0.562,0.812,0.484,0.5,0.517,0.438,0.531,0.517,0.531,0.483,0,0.375,0.281,0.438,0.281,0.406,0.3,0.185,0.714,0.448,0.406,0.355,0.586,0.5,0.68,0.68,0.619,0.759,0.5,0.667,0.469
"it-aur",0.647,0.765,0.353,0.735,0.5,0.412,0.7,0.647,0.676,0.303,0.677,0.5,0.441,0.5,0.324,0.382,0.5,0.324,0.412,0.424,0.471,0.618,0.382,0.394,0.324,0.382,0.324,0.412,0.412,0.324,0.471,0.647,0.333,0.353,0.355,0.353,0.382,0.387,0.382,0.3,0.375,0,0.353,0.206,0.353,0.147,0.312,0.276,0.7,0.129,0.265,0.121,0.29,0.241,0.63,0.704,0.522,0.6,0.367,0.385,0.273
"it-b",0.676,0.647,0.618,0.765,0.588,0.176,0.733,0.647,0.676,0.364,0.774,0.618,0.471,0.5,0.5,0.529,0.618,0.412,0.588,0.545,0.559,0.676,0.529,0.545,0.529,0.529,0.471,0.559,0.529,0.5,0.618,0.735,0.485,0.5,0.452,0.5,0.529,0.613,0.588,0.5,0.281,0.353,0,0.353,0.147,0.382,0.156,0.138,0.467,0.323,0.382,0.303,0.484,0.448,0.593,0.63,0.478,0.733,0.433,0.577,0.485
"it-c",0.529,0.706,0.441,0.618,0.5,0.353,0.567,0.647,0.559,0.394,0.613,0.559,0.471,0.559,0.471,0.471,0.559,0.412,0.412,0.485,0.529,0.588,0.471,0.485,0.5,0.471,0.471,0.5,0.412,0.412,0.529,0.559,0.455,0.441,0.452,0.441,0.471,0.548,0.529,0.467,0.438,0.206,0.353,0,0.294,0.324,0.281,0.31,0.567,0.226,0.294,0.273,0.452,0.414,0.741,0.63,0.391,0.733,0.467,0.538,0.424
"it-d",0.647,0.706,0.588,0.735,0.647,0.088,0.733,0.647,0.676,0.364,0.774,0.676,0.529,0.559,0.529,0.529,0.676,0.412,0.559,0.545,0.529,0.706,0.529,0.576,0.5,0.5,0.529,0.559,0.618,0.529,0.647,0.706,0.515,0.529,0.516,0.5,0.559,0.613,0.618,0.467,0.281,0.353,0.147,0.294,0,0.412,0.219,0.207,0.567,0.387,0.353,0.333,0.516,0.483,0.704,0.704,0.565,0.733,0.433,0.577,0.455
"it-f",0.647,0.706,0.441,0.735,0.471,0.412,0.667,0.588,0.676,0.333,0.645,0.5,0.5,0.618,0.353,0.353,0.5,0.441,0.412,0.394,0.529,0.559,0.382,0.424,0.412,0.382,0.353,0.382,0.382,0.353,0.5,0.618,0.364,0.382,0.419,0.324,0.412,0.387,0.412,0.3,0.406,0.147,0.382,0.324,0.412,0,0.281,0.31,0.633,0.129,0.235,0.121,0.387,0.276,0.63,0.63,0.522,0.6,0.3,0.462,0.273
"it-ff-2",0.625,0.688,0.531,0.719,0.531,0.25,0.679,0.594,0.625,0.355,0.69,0.531,0.438,0.562,0.469,0.406,0.531,0.438,0.531,0.419,0.5,0.656,0.406,0.484,0.562,0.438,0.406,0.438,0.562,0.438,0.531,0.688,0.452,0.438,0.483,0.375,0.469,0.552,0.562,0.429,0.3,0.312,0.156,0.281,0.219,0.281,0,0.148,0.5,0.276,0.281,0.194,0.552,0.444,0.731,0.615,0.435,0.724,0.286,0.542,0.387
"it-i",0.724,0.69,0.552,0.828,0.586,0.207,0.786,0.69,0.724,0.286,0.731,0.586,0.379,0.483,0.448,0.379,0.586,0.379,0.517,0.393,0.448,0.655,0.379,0.464,0.483,0.414,0.379,0.414,0.586,0.414,0.552,0.759,0.414,0.414,0.423,0.345,0.448,0.538,0.552,0.385,0.185,0.276,0.138,0.31,0.207,0.31,0.148,0,0.64,0.269,0.207,0.143,0.423,0.32,0.727,0.667,0.45,0.654,0.5,0.478,0.357
"it-k",0.433,0.433,0.8,0.433,0.5,0.567,0.481,0.533,0.4,0.759,0.481,0.633,0.8,0.7,0.733,0.833,0.6,0.633,0.7,0.793,0.733,0.533,0.833,0.793,0.867,0.8,0.7,0.833,0.567,0.733,0.833,0.467,0.793,0.8,0.815,0.8,0.8,0.815,0.767,0.821,0.714,0.7,0.467,0.567,0.567,0.633,0.5,0.64,0,0.571,0.667,0.655,0.714,0.808,0.542,0.375,0.5,0.692,0.615,0.565,0.759
"it-l",0.613,0.677,0.419,0.71,0.484,0.387,0.667,0.613,0.677,0.267,0.643,0.484,0.387,0.548,0.226,0.355,0.419,0.29,0.419,0.333,0.452,0.516,0.387,0.333,0.387,0.323,0.258,0.387,0.355,0.226,0.419,0.581,0.3,0.323,0.357,0.323,0.355,0.393,0.387,0.259,0.448,0.129,0.323,0.226,0.387,0.129,0.276,0.269,0.571,0,0.194,0.067,0.321,0.192,0.56,0.625,0.45,0.63,0.333,0.304,0.233
