"","UBS","01","02","03","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-i","it-l","it-q","it-r-1","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","geo","slav"
"Lect",0.567,0.586,0.033,0.633,0.7,0.533,0.567,0.6,0.533,0.433,0.3,0.467,0.241,0.067,0.1,0.4,0.517,0.233,0.103,0.4,0.333,0.067,0.067,0.067,0.133,0.033,0.074,0.367,0.2,0.067,0.577,0.067,0.067,0.067,0.1,0.067,0.143,0,0.481,0.357,0.679,0.393,0.655,0.346,0.586,0.607,0.31,0.414,0.476,0.25,0.231,0.111,0.545,0.524,0.48,0.423,0.269,0.35,0.037
"it-a",0.594,0.767,0.531,0.75,0.375,0.719,0.594,0.75,0.438,0.562,0.531,0.531,0.5,0.531,0.594,0.562,0.387,0.562,0.548,0.469,0.625,0.562,0.531,0.594,0.625,0.531,0.581,0.688,0.625,0.548,0.679,0.548,0.562,0.562,0.594,0.562,0.5,0.481,0,0.438,0.25,0.438,0.188,0.517,0.219,0.312,0.438,0.406,0.28,0.452,0.607,0.552,0.577,0.783,0.741,0.621,0.586,0.714,0.567
"it-aur",0.606,0.548,0.364,0.667,0.545,0.697,0.606,0.727,0.576,0.576,0.424,0.667,0.452,0.364,0.424,0.545,0.5,0.485,0.406,0.394,0.455,0.394,0.364,0.424,0.455,0.364,0.387,0.485,0.394,0.406,0.586,0.375,0.394,0.394,0.424,0.394,0.323,0.357,0.438,0,0.424,0.273,0.515,0.233,0.485,0.515,0.121,0.424,0.423,0.156,0.345,0.367,0.63,0.375,0.5,0.533,0.267,0.545,0.29
"it-b",0.606,0.71,0.697,0.788,0.242,0.788,0.576,0.818,0.424,0.576,0.667,0.545,0.677,0.697,0.697,0.606,0.344,0.727,0.656,0.394,0.697,0.727,0.697,0.758,0.788,0.697,0.71,0.727,0.727,0.719,0.793,0.719,0.727,0.727,0.758,0.727,0.677,0.679,0.25,0.424,0,0.394,0.182,0.433,0.152,0.242,0.455,0.394,0.231,0.5,0.552,0.633,0.519,0.708,0.714,0.533,0.533,0.636,0.677
"it-c",0.515,0.677,0.455,0.667,0.455,0.697,0.606,0.758,0.485,0.545,0.515,0.576,0.516,0.455,0.515,0.485,0.406,0.576,0.469,0.424,0.515,0.485,0.455,0.515,0.545,0.455,0.484,0.545,0.485,0.469,0.621,0.469,0.485,0.485,0.515,0.485,0.419,0.393,0.438,0.273,0.394,0,0.455,0.333,0.303,0.333,0.303,0.424,0.385,0.312,0.448,0.5,0.481,0.542,0.571,0.5,0.4,0.364,0.419
"it-d",0.559,0.719,0.676,0.706,0.235,0.706,0.647,0.735,0.382,0.676,0.647,0.588,0.562,0.647,0.647,0.647,0.394,0.618,0.606,0.412,0.618,0.676,0.647,0.706,0.676,0.676,0.656,0.706,0.618,0.667,0.633,0.667,0.676,0.706,0.706,0.676,0.656,0.655,0.188,0.515,0.182,0.455,0,0.548,0.147,0.242,0.5,0.353,0.231,0.515,0.667,0.645,0.63,0.72,0.69,0.567,0.645,0.773,0.625
"it-f",0.613,0.586,0.323,0.645,0.613,0.677,0.548,0.71,0.613,0.613,0.516,0.71,0.414,0.323,0.355,0.613,0.581,0.484,0.3,0.516,0.452,0.355,0.323,0.355,0.387,0.323,0.31,0.548,0.387,0.367,0.593,0.333,0.355,0.355,0.387,0.355,0.276,0.346,0.517,0.233,0.433,0.333,0.548,0,0.548,0.6,0.258,0.419,0.458,0.3,0.214,0.25,0.64,0.542,0.519,0.586,0.276,0.55,0.333
"it-ff-2",0.5,0.719,0.618,0.706,0.265,0.706,0.618,0.765,0.382,0.588,0.618,0.471,0.625,0.618,0.618,0.559,0.394,0.676,0.576,0.412,0.588,0.647,0.618,0.676,0.706,0.618,0.625,0.618,0.647,0.636,0.667,0.636,0.647,0.647,0.676,0.647,0.625,0.586,0.219,0.485,0.152,0.303,0.147,0.548,0,0.091,0.412,0.353,0.192,0.424,0.633,0.613,0.519,0.68,0.724,0.533,0.645,0.591,0.594
"it-i",0.576,0.742,0.636,0.788,0.273,0.727,0.636,0.788,0.333,0.545,0.545,0.424,0.645,0.667,0.636,0.515,0.312,0.667,0.625,0.424,0.606,0.667,0.667,0.697,0.727,0.636,0.645,0.636,0.667,0.656,0.759,0.656,0.667,0.667,0.636,0.667,0.645,0.607,0.312,0.515,0.242,0.333,0.242,0.6,0.091,0,0.455,0.394,0.154,0.469,0.655,0.633,0.519,0.625,0.75,0.433,0.633,0.5,0.613
"it-l",0.529,0.438,0.324,0.588,0.588,0.618,0.559,0.647,0.559,0.588,0.441,0.588,0.438,0.324,0.382,0.559,0.545,0.471,0.364,0.382,0.353,0.353,0.324,0.412,0.441,0.324,0.344,0.382,0.382,0.364,0.467,0.333,0.353,0.353,0.382,0.353,0.344,0.31,0.438,0.121,0.455,0.303,0.5,0.258,0.412,0.455,0,0.382,0.423,0.03,0.333,0.29,0.63,0.32,0.414,0.533,0.29,0.545,0.281
