"","UBS","01","02","03","04","05","019","032","037","038","044","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","011","013","042","Lect","it-aur","it-c","it-d","it-ff-2","it-k","it-l","it-q","vg","syr-p","syr-h","syr-s","cop-sa","cop-bo","arm","eth","slav"
"it-aur",0.517,0.621,0.353,0.552,0.552,0.533,0.516,0.625,0.424,0.438,0.677,0.333,0.441,0.382,0.407,0.382,0.382,0.324,0.485,0.441,0.382,0.382,0.515,0.353,0.364,0.353,0.353,0.441,0.382,0.364,0.394,0.382,0.394,0.344,0.353,0.312,0.355,0.318,0.438,0,0.441,0.5,0.2,0.586,0.152,0.241,0.097,0.276,0.37,0.48,0.5,0.56,0.448,0.419,0.333
"it-c",0.862,0.655,0.706,0.793,0.621,0.467,0.645,0.594,0.697,0.625,0.839,0.7,0.647,0.706,0.593,0.618,0.676,0.676,0.667,0.529,0.676,0.706,0.636,0.676,0.667,0.676,0.647,0.735,0.676,0.606,0.636,0.676,0.636,0.656,0.647,0.656,0.645,0.818,0.75,0.441,0,0.5,0.367,0.517,0.455,0.448,0.452,0.586,0.593,0.72,0.731,0.6,0.621,0.581,0.636
"it-d",0.679,0.714,0.679,0.714,0.739,0.071,0.8,0.654,0.741,0.577,0.769,0.667,0.714,0.714,0.667,0.643,0.75,0.643,0.63,0.714,0.75,0.714,0.778,0.75,0.741,0.75,0.75,0.786,0.75,0.704,0.815,0.75,0.704,0.731,0.75,0.692,0.72,0.667,0.731,0.5,0.5,0,0.444,0.464,0.536,0.478,0.556,0.609,0.818,0.708,0.65,0.684,0.542,0.731,0.667
"it-ff-2",0.714,0.679,0.467,0.75,0.52,0.483,0.667,0.607,0.483,0.429,0.815,0.483,0.5,0.533,0.478,0.467,0.467,0.467,0.483,0.5,0.467,0.5,0.69,0.533,0.483,0.433,0.433,0.5,0.467,0.552,0.552,0.467,0.621,0.464,0.467,0.464,0.429,0.5,0.571,0.2,0.367,0.444,0,0.536,0.2,0.36,0.214,0.423,0.44,0.6,0.609,0.636,0.462,0.5,0.379
"it-k",0.655,0.655,0.724,0.655,0.667,0.483,0.679,0.741,0.75,0.667,0.586,0.75,0.793,0.793,0.773,0.724,0.793,0.724,0.714,0.806,0.793,0.828,0.714,0.828,0.786,0.828,0.793,0.828,0.793,0.643,0.857,0.793,0.607,0.778,0.793,0.778,0.769,0.773,0.778,0.586,0.517,0.464,0.536,0,0.621,0.667,0.571,0.75,0.826,0.64,0.783,0.762,0.708,0.759,0.714
"it-l",0.586,0.586,0.303,0.621,0.5,0.567,0.6,0.581,0.438,0.419,0.7,0.367,0.424,0.364,0.462,0.303,0.303,0.303,0.531,0.424,0.303,0.303,0.531,0.333,0.312,0.394,0.333,0.364,0.303,0.375,0.438,0.303,0.5,0.29,0.273,0.29,0.333,0.364,0.387,0.152,0.455,0.536,0.2,0.621,0,0.286,0.065,0.357,0.385,0.52,0.56,0.625,0.571,0.4,0.375
"it-q",0.542,0.583,0.379,0.583,0.5,0.48,0.586,0.552,0.357,0.556,0.654,0.32,0.414,0.414,0.364,0.276,0.414,0.379,0.571,0.483,0.414,0.517,0.483,0.345,0.357,0.379,0.379,0.483,0.414,0.414,0.379,0.379,0.379,0.37,0.345,0.37,0.346,0.4,0.407,0.241,0.448,0.478,0.36,0.667,0.286,0,0.269,0.24,0.261,0.524,0.5,0.636,0.458,0.423,0.321
"vg",0.5,0.571,0.323,0.536,0.538,0.552,0.5,0.586,0.467,0.483,0.643,0.379,0.452,0.387,0.48,0.323,0.323,0.323,0.5,0.452,0.323,0.355,0.467,0.355,0.333,0.387,0.323,0.387,0.323,0.367,0.367,0.323,0.4,0.31,0.29,0.31,0.321,0.333,0.414,0.097,0.452,0.556,0.214,0.571,0.065,0.269,0,0.296,0.36,0.48,0.5,0.565,0.5,0.379,0.367
"syr-p",0.5,0.667,0.31,0.625,0.5,0.6,0.577,0.571,0.393,0.519,0.556,0.385,0.379,0.379,0.261,0.276,0.31,0.379,0.517,0.379,0.276,0.345,0.429,0.241,0.25,0.207,0.241,0.345,0.276,0.429,0.286,0.276,0.393,0.222,0.241,0.222,0.286,0.25,0.333,0.276,0.586,0.609,0.423,0.75,0.357,0.24,0.296,0,0.154,0.5,0.478,0.625,0.423,0.357,0.25
"syr-h",0.565,0.696,0.296,0.652,0.478,0.792,0.583,0.538,0.308,0.52,0.625,0.32,0.259,0.37,0.095,0.222,0.222,0.37,0.481,0.37,0.222,0.296,0.385,0.148,0.222,0.111,0.185,0.185,0.222,0.5,0.115,0.222,0.423,0.222,0.185,0.2,0.231,0.263,0.269,0.37,0.593,0.818,0.44,0.826,0.385,0.261,0.36,0.154,0,0.591,0.476,0.524,0.4,0.308,0.154
"syr-s",0.52,0.6,0.56,0.52,0.65,0.68,0.591,0.375,0.625,0.565,0.583,0.48,0.56,0.48,0.684,0.56,0.68,0.44,0.5,0.56,0.64,0.56,0.583,0.6,0.625,0.56,0.64,0.68,0.64,0.667,0.708,0.64,0.583,0.609,0.6,0.565,0.652,0.55,0.609,0.48,0.72,0.708,0.6,0.64,0.52,0.524,0.48,0.5,0.591,0,0.579,0.632,0.476,0.68,0.583
"cop-sa",0.286,0.429,0.5,0.286,0.455,0.591,0.462,0.625,0.5,0.76,0.4,0.522,0.538,0.538,0.429,0.615,0.615,0.615,0.6,0.464,0.577,0.577,0.48,0.538,0.56,0.538,0.538,0.538,0.577,0.68,0.44,0.577,0.4,0.542,0.577,0.56,0.625,0.4,0.542,0.5,0.731,0.65,0.609,0.783,0.56,0.5,0.5,0.478,0.476,0.579,0,0.19,0.522,0.423,0.52
"cop-bo",0.35,0.4,0.6,0.3,0.45,0.571,0.333,0.458,0.458,0.609,0.417,0.591,0.52,0.56,0.524,0.64,0.6,0.6,0.48,0.5,0.6,0.52,0.333,0.52,0.583,0.52,0.56,0.52,0.6,0.583,0.417,0.6,0.417,0.565,0.6,0.542,0.6,0.5,0.565,0.56,0.6,0.684,0.636,0.762,0.625,0.636,0.565,0.625,0.524,0.632,0.19,0,0.5,0.4,0.5
"arm",0.75,0.667,0.655,0.792,0.583,0.56,0.538,0.519,0.5,0.407,0.615,0.5,0.483,0.655,0.455,0.69,0.69,0.552,0.276,0.517,0.69,0.586,0.536,0.586,0.679,0.552,0.655,0.621,0.69,0.643,0.536,0.69,0.679,0.679,0.655,0.63,0.679,0.579,0.704,0.448,0.621,0.542,0.462,0.708,0.571,0.458,0.5,0.423,0.4,0.476,0.522,0.5,0,0.5,0.464
"eth",0.444,0.444,0.484,0.593,0.423,0.75,0.433,0.586,0.433,0.621,0.452,0.5,0.419,0.484,0.36,0.419,0.419,0.452,0.533,0.303,0.387,0.387,0.333,0.29,0.367,0.29,0.355,0.355,0.387,0.467,0.267,0.387,0.5,0.345,0.355,0.31,0.429,0.4,0.414,0.419,0.581,0.731,0.5,0.759,0.4,0.423,0.379,0.357,0.308,0.68,0.423,0.4,0.5,0,0.333
"slav",0.571,0.643,0.333,0.607,0.414,0.69,0.5,0.548,0.219,0.419,0.533,0.31,0.273,0.303,0.192,0.273,0.212,0.303,0.406,0.333,0.242,0.303,0.406,0.212,0.219,0.121,0.212,0.182,0.242,0.344,0.219,0.242,0.469,0.194,0.273,0.226,0.233,0.238,0.258,0.333,0.636,0.667,0.379,0.714,0.375,0.321,0.367,0.25,0.154,0.583,0.52,0.5,0.464,0.333,0
