"","UBS","01","02","03","04","05","019","032","037","038","f-1","f-13","28","33","157","180","205","565","579","597","700","892","1006","1010","1071","1241","1243","1292","1342","1424","1505","2427","Byz","07","09","011","013","042","Lect","it-a","it-aur","it-b","it-c","it-d","it-f","it-ff-2","it-l","it-q","it-r-1","vg","syr-p","syr-h","cop-sa","cop-bo","arm","eth","slav"
"it-d",0.735,0.879,0.676,0.824,0.778,0.212,0.848,0.706,0.765,0.697,0.735,0.676,0.676,0.706,0.724,0.618,0.735,0.647,0.688,0.647,0.588,0.824,0.618,0.606,0.647,0.697,0.618,0.645,0.706,0.697,0.647,0.697,0.645,0.618,0.625,0.677,0.655,0.647,0.633,0.138,0.412,0.235,0.394,0,0.515,0.091,0.485,0.258,0.156,0.419,0.5,0.714,0.75,0.684,0.621,0.786,0.6
"it-f",0.618,0.727,0.412,0.735,0.63,0.606,0.576,0.647,0.618,0.545,0.441,0.5,0.706,0.618,0.448,0.353,0.471,0.559,0.406,0.412,0.441,0.559,0.382,0.394,0.294,0.455,0.353,0.387,0.529,0.394,0.412,0.667,0.355,0.353,0.344,0.516,0.379,0.441,0.4,0.586,0.324,0.559,0.485,0.515,0,0.576,0.394,0.323,0.562,0.258,0.276,0.414,0.583,0.421,0.467,0.448,0.31
"it-ff-2",0.647,0.788,0.735,0.735,0.786,0.333,0.818,0.735,0.794,0.727,0.735,0.676,0.706,0.706,0.7,0.676,0.735,0.676,0.719,0.706,0.618,0.794,0.676,0.667,0.706,0.697,0.676,0.71,0.647,0.758,0.706,0.606,0.71,0.676,0.688,0.742,0.724,0.676,0.7,0.172,0.471,0.235,0.333,0.091,0.576,0,0.606,0.323,0.156,0.484,0.607,0.714,0.667,0.7,0.552,0.786,0.586
"it-l",0.647,0.636,0.441,0.676,0.444,0.636,0.529,0.706,0.529,0.515,0.471,0.471,0.471,0.441,0.483,0.471,0.471,0.471,0.469,0.412,0.471,0.5,0.5,0.455,0.412,0.424,0.441,0.406,0.5,0.424,0.412,0.606,0.452,0.471,0.438,0.452,0.483,0.471,0.4,0.567,0.206,0.588,0.515,0.485,0.394,0.606,0,0.419,0.562,0.129,0.286,0.393,0.5,0.316,0.414,0.357,0.433
"it-q",0.719,0.774,0.469,0.875,0.643,0.419,0.71,0.75,0.688,0.516,0.5,0.531,0.531,0.562,0.5,0.438,0.5,0.594,0.5,0.438,0.5,0.625,0.438,0.484,0.5,0.581,0.438,0.483,0.594,0.548,0.438,0.774,0.448,0.438,0.467,0.633,0.481,0.531,0.464,0.407,0.312,0.344,0.355,0.258,0.323,0.323,0.419,0,0.387,0.333,0.333,0.519,0.652,0.579,0.393,0.692,0.393
"it-r-1",0.727,0.812,0.667,0.727,0.741,0.344,0.812,0.697,0.727,0.688,0.697,0.697,0.667,0.697,0.571,0.606,0.697,0.636,0.742,0.576,0.606,0.758,0.606,0.594,0.606,0.562,0.667,0.567,0.576,0.625,0.576,0.625,0.6,0.606,0.613,0.613,0.643,0.606,0.552,0.25,0.424,0.333,0.469,0.156,0.562,0.156,0.562,0.387,0,0.433,0.481,0.63,0.792,0.722,0.679,0.643,0.607
"vg",0.531,0.613,0.469,0.656,0.423,0.613,0.484,0.75,0.438,0.484,0.5,0.469,0.531,0.438,0.407,0.406,0.5,0.5,0.5,0.375,0.438,0.438,0.406,0.387,0.312,0.387,0.375,0.345,0.469,0.419,0.375,0.581,0.379,0.406,0.367,0.448,0.407,0.469,0.393,0.481,0.094,0.562,0.387,0.419,0.258,0.484,0.129,0.333,0.433,0,0.214,0.357,0.522,0.278,0.393,0.423,0.321
"syr-p",0.655,0.679,0.276,0.759,0.478,0.571,0.571,0.724,0.448,0.5,0.31,0.414,0.448,0.379,0.167,0.207,0.31,0.448,0.407,0.172,0.345,0.414,0.207,0.214,0.172,0.25,0.276,0.192,0.414,0.25,0.172,0.679,0.185,0.207,0.214,0.308,0.208,0.345,0.222,0.542,0.31,0.586,0.571,0.5,0.276,0.607,0.286,0.333,0.481,0.214,0,0.25,0.545,0.444,0.385,0.458,0.16
"syr-h",0.69,0.655,0.241,0.69,0.435,0.75,0.5,0.724,0.483,0.5,0.276,0.31,0.379,0.207,0.083,0.103,0.31,0.379,0.407,0.069,0.414,0.31,0.103,0.143,0.207,0.214,0.31,0.077,0.276,0.179,0.069,0.607,0.077,0.103,0.071,0.231,0.08,0.276,0.074,0.792,0.414,0.724,0.679,0.714,0.414,0.714,0.393,0.519,0.63,0.357,0.25,0,0.435,0.471,0.423,0.417,0.16
"cop-sa",0.56,0.48,0.6,0.52,0.526,0.875,0.583,0.64,0.6,0.5,0.52,0.44,0.6,0.52,0.6,0.6,0.56,0.64,0.565,0.52,0.64,0.56,0.6,0.667,0.52,0.583,0.64,0.545,0.6,0.542,0.52,0.625,0.591,0.6,0.583,0.636,0.571,0.56,0.56,0.739,0.48,0.68,0.52,0.75,0.583,0.667,0.5,0.652,0.792,0.522,0.545,0.435,0,0.278,0.391,0.318,0.524
"cop-bo",0.45,0.526,0.55,0.45,0.688,0.842,0.368,0.65,0.5,0.421,0.5,0.45,0.55,0.45,0.647,0.65,0.5,0.65,0.632,0.55,0.55,0.4,0.65,0.65,0.5,0.632,0.55,0.579,0.6,0.526,0.55,0.474,0.611,0.65,0.632,0.588,0.625,0.55,0.55,0.789,0.35,0.65,0.55,0.684,0.421,0.7,0.316,0.579,0.722,0.278,0.444,0.471,0.278,0,0.389,0.25,0.5
"arm",0.7,0.586,0.467,0.733,0.48,0.621,0.517,0.6,0.567,0.414,0.367,0.4,0.533,0.433,0.385,0.467,0.4,0.467,0.464,0.4,0.4,0.567,0.467,0.517,0.4,0.379,0.4,0.444,0.467,0.414,0.4,0.69,0.444,0.467,0.5,0.444,0.48,0.3,0.407,0.667,0.4,0.533,0.533,0.621,0.467,0.552,0.414,0.393,0.679,0.393,0.385,0.423,0.391,0.389,0,0.577,0.269
"eth",0.586,0.571,0.483,0.552,0.636,0.929,0.571,0.586,0.621,0.536,0.483,0.517,0.586,0.586,0.583,0.517,0.517,0.483,0.519,0.448,0.552,0.586,0.552,0.536,0.552,0.464,0.621,0.423,0.448,0.357,0.448,0.571,0.5,0.517,0.481,0.5,0.5,0.517,0.36,0.8,0.448,0.828,0.655,0.786,0.448,0.786,0.357,0.692,0.643,0.423,0.458,0.417,0.318,0.25,0.577,0,0.542
"slav",0.567,0.655,0.233,0.7,0.375,0.655,0.433,0.667,0.467,0.483,0.267,0.3,0.467,0.367,0.16,0.133,0.3,0.433,0.276,0.167,0.333,0.4,0.133,0.172,0.233,0.241,0.233,0.143,0.367,0.241,0.167,0.6,0.107,0.133,0.143,0.259,0.12,0.2,0.192,0.654,0.433,0.533,0.552,0.6,0.31,0.586,0.433,0.393,0.607,0.321,0.16,0.16,0.524,0.5,0.269,0.542,0
